,ID,GC%
0,Thylacinus_cynocephalus,43.0
1,Sminthopsis_crassicaudata,39.0
2,Echinops_telfairi,47.9
3,Rousettus_aegyptiacus,49.8
4,Desmodus_rotundus,40.0
5,Otolemur_crassicaudatus,49.2
6,Galago_senegalensis,49.8
7,Loris_tardigradus,46.5
8,Nycticebus_coucang,33.2
9,Perodicticus_potto,34.5
10,Vulpes_vulpes,50.5
11,Melursus_ursinus,49.3
12,Tremarctos_ornatus,57.1
13,Nasua_nasua,57.1
14,Martes_americana,46.5
15,Leptonychotes_weddellii,34.6
16,Mirounga_leonina,51.3
17,Elephas_maximus,53.6
18,Loxodonta_africana,43.2
19,Lama_guanicoe,53.5
20,Lama_glama,53.7
21,Octodon_degus,37.0
22,Lynx_lynx,47.8
23,Mephitis_mephitis,44.0
24,Taxidea_taxus,35.0
25,Eulemur_macaco_macaco,38.8
26,Microcebus_murinus,48.5
27,Martes_melampus,39.0
28,Martes_zibellina,41.8
29,Crocidura_russula,50.2
30,Arctocephalus_pusillus,36.2
31,Tupaia_belangeri,44.3
32,Ursus_spelaeus,49.3
33,Erignathus_barbatus,50.8
34,Sorex_araneus,50.4
35,Myrmecobius_fasciatus,42.3
36,Prionailurus_viverrinus,29.0
37,Neofelis_nebulosa,39.9
38,Spalacopus_cyanus,32.2
39,Episoriculus_caudatus,49.2
40,Dipus_sagitta,50.6
41,Varecia_variegata_variegata,45.6
42,Eozapus_setchuanus,46.9
43,Arctonyx_collaris,37.1
44,Crocidura_shantungensis,26.4
45,Meles_anakuma,39.2
46,Genetta_servalina,53.1
47,Prionodon_pardicolor,51.4
48,Nycticebus_bengalensis,33.2
49,Ursus_thibetanus_mupinensis,52.4
50,Lophostoma_silvicolum,48.5
51,Sorex_cylindricauda,50.4
52,Mustela_kathiah,56.9
53,Epomophorus_gambianus,50.0
54,Eremitalpa_granti,37.9
55,Vulpes_lagopus,50.0
56,Bradypus_pygmaeus,45.5
57,Pusa_caspica,40.5
58,Scapanulus_oweni,49.4
