,ID,GC
0,Ornithorhynchus_anatinus,37.1
1,Tachyglossus_aculeatus,40.1
2,Didelphis_virginiana,33.2
3,Thylacinus_cynocephalus,35.6
4,Dasyurus_hallucatus,36.3
5,Phascogale_tapoatafa,39.4
6,Sminthopsis_crassicaudata,38.7
7,Sarcophilus_harrisii,37.4
8,Potorous_tridactylus,39.1
9,Macropus_robustus,39.2
10,Pseudocheirus_peregrinus,39.3
11,Trichosurus_vulpecula,37.3
12,Tamandua_mexicana,38.9
13,Choloepus_hoffmanni,43.0
14,Dasypus_novemcinctus,38.9
15,Erinaceus_europaeus,32.6
16,Echinops_telfairi,37.0
17,Talpa_europaea,38.9
18,Suncus_murinus,34.3
19,Pteropus_alecto,41.7
20,Rousettus_aegyptiacus,41.9
21,Artibeus_jamaicensis,37.9
22,Brachyphylla_cavernarum,41.0
23,Desmodus_rotundus,47.6
24,Lemur_catta,38.1
25,Varecia_variegata,38.0
26,Cheirogaleus_medius,38.1
27,Otolemur_crassicaudatus,43.1
28,Galago_senegalensis,41.0
29,Loris_tardigradus,39.2
30,Nycticebus_coucang,40.7
31,Perodicticus_potto,41.7
32,Callithrix_jacchus,40.3
33,Saguinus_oedipus,40.6
34,Callithrix_pygmaea,39.7
35,Callimico_goeldii,38.0
36,Alouatta_caraya,39.6
37,Alouatta_seniculus,39.4
38,Ateles_belzebuth,39.1
39,Cebus_albifrons,39.1
40,Lagothrix_lagotricha,39.5
41,Saimiri_sciureus,40.7
42,Cercocebus_torquatus,41.4
43,Cercocebus_atys,41.8
44,Chlorocebus_aethiops,42.7
45,Erythrocebus_patas,41.3
46,Macaca_arctoides,43.2
47,Macaca_fascicularis,43.1
48,Macaca_fuscata,43.4
49,Macaca_mulatta,43.2
50,Macaca_nemestrina,42.8
51,Macaca_sylvanus,43.1
52,Macaca_assamensis,43.3
53,Papio_anubis,43.7
54,Papio_cynocephalus,43.7
55,Papio_hamadryas,43.7
56,Mandrillus_sphinx,42.1
57,Theropithecus_gelada,43.2
58,Mandrillus_leucophaeus,42.3
59,Hylobates_agilis,45.7
60,Hylobates_lar,45.5
61,Nomascus_siki,45.2
62,Hylobates_pileatus,45.2
63,Symphalangus_syndactylus,43.5
64,Gorilla_gorilla,43.9
65,Gorilla_gorilla_gorilla,43.8
66,Pan_paniscus,43.4
67,Pan_troglodytes,43.7
68,Pongo_pygmaeus,45.7
69,Pongo_abelii,45.9
70,Homo_sapiens,44.4
71,Canis_lupus,39.7
72,Canis_latrans,39.6
73,Canis_lupus_familiaris,39.7
74,Lycaon_pictus,39.5
75,Vulpes_vulpes,40.9
76,Vulpes_corsac,40.7
77,Helarctos_malayanus,41.0
78,Melursus_ursinus,41.7
79,Tremarctos_ornatus,41.4
80,Ursus_thibetanus,40.9
81,Ursus_americanus,40.6
82,Ursus_arctos,41.3
83,Ailuropoda_melanoleuca,38.8
84,Ailurus_fulgens,37.6
85,Nasua_nasua,41.1
86,Procyon_lotor,39.6
87,Lutra_lutra,42.0
88,Martes_foina,41.9
89,Martes_americana,42.3
90,Meles_meles,38.9
91,Paguma_larvata,37.2
92,Crocuta_crocuta,42.6
93,Felis_silvestris,40.2
94,Felis_catus,40.3
95,Panthera_leo,40.9
96,Panthera_onca,40.9
97,Panthera_pardus,41.1
98,Puma_concolor,39.8
99,Zalophus_californianus,40.4
100,Halichoerus_grypus,41.7
101,Leptonychotes_weddellii,40.1
102,Mirounga_leonina,39.2
103,Pusa_hispida,41.3
104,Pusa_sibirica,41.9
105,Phoca_vitulina,41.7
106,Inia_geoffrensis,41.2
107,Globicephala_melas,38.9
108,Orcinus_orca,39.7
109,Stenella_attenuata,38.7
110,Stenella_coeruleoalba,38.8
111,Tursiops_truncatus,38.9
112,Phocoena_phocoena,40.6
113,Physeter_catodon,43.1
114,Ziphius_cavirostris,39.6
115,Eschrichtius_robustus,41.3
116,Balaenoptera_borealis,40.4
